2022-07-09 19:31:58.495615{'Count': 81, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 19:52:45.559226{'Count': 82, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 20:13:34.310360{'Count': 83, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 20:34:23.694354{'Count': 84, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 20:55:10.989250{'Count': 85, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 21:15:55.624549{'Count': 86, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 21:36:42.902583{'Count': 87, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 21:57:30.942471{'Count': 88, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 22:18:18.215802{'Count': 89, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 22:39:04.095831{'Count': 90, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 22:59:50.330183{'Count': 91, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 23:20:39.650192{'Count': 92, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 23:41:27.969921{'Count': 93, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-10 00:02:14.623463{'Count': 94, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-10 00:23:01.369325{'Count': 95, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-10 00:43:48.572862{'Count': 96, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
